Input Name,Place Name,Address,Price Level,Types,Category,Website,Phone Number,Rating,Review Count,Opening Hours,Email,POS System,Loyalty Programs,Reservation Platform,Review Text,Review Author,Review Rating,Popular Dish/Drink,Intro Email Blurb
Golden Diner,Golden Diner,"123 Madison St, New York, NY 10002, USA",2,"restaurant, food, point_of_interest, establishment",BB1,http://www.goldendinerny.com/,(917) 472-7800,4.5,1631,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM",talkto@goldendinerny.com,Toast,,Resy,"There are no words to describe how AMAZINGLY GOOD this place is. The pancakes are an absolute must and add the jam if you'll like.

We also ordered the omelette and it was SO DELICIOUS. Specially the crispy fries they add to the dish.

And the pancakes... It has like a hint of lemon, which gives them a fresh touch that is to die for.

ADVICE: make a reservation as it gets super packed all the time!",Maho Hernández,5,pancakes,"Here is a draft personal-sounding email intro describing an experience at the restaurant with friends:

Last weekend I met up with a few friends at Golden Diner. We ordered pancakes and enjoyed the cozy, welcoming diner ambiance and friendly service."
YongChuan,YongChuan,"90 Clinton St, New York, NY 10002, USA",,"restaurant, food, point_of_interest, establishment",BB1,https://yongchuannyc.com/,(646) 609-6324,4.5,73,"Monday: Closed, Tuesday: 5:00 – 11:30 PM, Wednesday: 5:00 – 11:30 PM, Thursday: 5:00 – 11:30 PM, Friday: 5:00 – 11:30 PM, Saturday: 10:30 AM – 3:00 PM, 5:00 – 11:30 PM, Sunday: 10:30 AM – 3:00 PM, 5:00 – 11:30 PM",info@yongchuannyc.com,,,Resy,"Lovely upscale dim sum. The quality of the food was outstanding, and the ambiance is great, modern and cozy. The staff was patient and helpful, and very attentive. Everything I tried was delicious, tasted clean, and made me want to get seconds. An instant favorite.

I'm not a huge fan of all you can eat as it can lead to overeating to ""get value"". However, this place offers excellent food and experience, so I would recommend it and I will go back.",Javier Kohen,5,Peking duck,"Here is a draft personal-sounding email intro describing my experience at YongChuan restaurant with friends:

Last weekend, I met up with a group of friends at YongChuan, a charming little restaurant in the Lower East Side known for its Peking duck."
Dirt Candy,Dirt Candy,"86 Allen St, New York, NY 10002, USA",2,"restaurant, point_of_interest, food, establishment",BB1,http://www.dirtcandynyc.com/,(212) 228-7732,4.5,1345,"Monday: Closed, Tuesday: 5:30 – 10:30 PM, Wednesday: 5:30 – 10:30 PM, Thursday: 5:30 – 10:30 PM, Friday: 5:30 – 10:30 PM, Saturday: 5:30 – 10:30 PM, Sunday: Closed",press@dirtcandynyc.com,,,Resy,"As a lover of fine dining but who eats vegetarian at restaurants I was eager to try this Michelin star “naturally vegetarian” restaurant.

First off it was delicious. I left feeling satisfied but not stuffed and felt that it was a great value for the price and the quality was there in every dish.

The first dish was my least favorite, the croissant was flavorful but served room temp and didn’t love that, and the mushroom broth wasn’t hitting it for me.

Other than that I would order and eat every item again.

The desert was tasty but not something I would probably go out of my way to order.

With each dish I felt like I was a lucky judge getting to taste a chopped creation, as they transformed ingredients into things I’ve never seen or tried but were familiar ingredients.

The service was about two hours long, we sat at the counter and got to watch them in action in the kitchen. Reminded me of the bear but less angry!

Service was confusing at times with different staff dropping the food and offering varying levels of description of each dish and not having the menu at the table as the meal unfolded I wasn’t always sure what we were getting and couldn’t hear the explanations too well at times.

Some flat wear and glassware was served to us still wet which was not a good sign for a Michelin star level spot and a napkin I received had a stain on it.

Otherwise it was a lovely evening for my husband’s birthday and we would go back for a different seasonal tasting menu in the future.",Stella Carr,5,carrot colada,"Here is a draft personal-sounding email intro about my experience at Dirt Candy:

Last weekend, my friends and I tried the new vegetarian restaurant Dirt Candy. We ordered the carrot colada drink, which was surprisingly refreshing!"
Dirt Candy,Dirt Candy,"86 Allen St, New York, NY 10002, USA",2,"restaurant, point_of_interest, food, establishment",BB1,http://www.dirtcandynyc.com/,(212) 228-7732,4.5,1345,"Monday: Closed, Tuesday: 5:30 – 10:30 PM, Wednesday: 5:30 – 10:30 PM, Thursday: 5:30 – 10:30 PM, Friday: 5:30 – 10:30 PM, Saturday: 5:30 – 10:30 PM, Sunday: Closed",info@dirtcandynyc.com,,,Resy,"As a lover of fine dining but who eats vegetarian at restaurants I was eager to try this Michelin star “naturally vegetarian” restaurant.

First off it was delicious. I left feeling satisfied but not stuffed and felt that it was a great value for the price and the quality was there in every dish.

The first dish was my least favorite, the croissant was flavorful but served room temp and didn’t love that, and the mushroom broth wasn’t hitting it for me.

Other than that I would order and eat every item again.

The desert was tasty but not something I would probably go out of my way to order.

With each dish I felt like I was a lucky judge getting to taste a chopped creation, as they transformed ingredients into things I’ve never seen or tried but were familiar ingredients.

The service was about two hours long, we sat at the counter and got to watch them in action in the kitchen. Reminded me of the bear but less angry!

Service was confusing at times with different staff dropping the food and offering varying levels of description of each dish and not having the menu at the table as the meal unfolded I wasn’t always sure what we were getting and couldn’t hear the explanations too well at times.

Some flat wear and glassware was served to us still wet which was not a good sign for a Michelin star level spot and a napkin I received had a stain on it.

Otherwise it was a lovely evening for my husband’s birthday and we would go back for a different seasonal tasting menu in the future.",Stella Carr,5,carrot colada,"Here is a draft personal-sounding email intro about my experience at Dirt Candy:

Last weekend, my friends and I tried the new vegetarian restaurant Dirt Candy. We ordered the carrot colada drink, which was surprisingly refreshing!"
Sammy’s Roumanian,Sammy's Roumanian Steak House,"112 Stanton St, New York, NY 10002, USA",3,"restaurant, point_of_interest, food, establishment",BB1,http://instagram.com/famous_sammys,(646) 410-2427,4.3,412,"Monday: Closed, Tuesday: Closed, Wednesday: 4:00 – 11:00 PM, Thursday: 4:00 – 11:00 PM, Friday: 5:00 – 11:30 PM, Saturday: 5:00 – 11:30 PM, Sunday: 4:00 – 11:00 PM",,,,,"We took our surly brother in law to Sammy's for his 60th birthday and he absolutely loved it! We had so much fun and got silly on the dance floor. The food was great, but this is more like interactive dinner theater. The temporary location works well too.",Christine Stodolski,5,frozen vodka bottles,"Here is a draft personal-sounding email intro describing my experience at Sammy's Roumanian Steak House with friends:

My friends and I had the best time dancing the night away at Sammy's last weekend! We really enjoyed the frozen vodka bottles."
Gem Wine,Gem Wine,"116 Forsyth St, New York, NY 10002, USA",,"bar, food, point_of_interest, establishment",BB3,http://gem-nyc.com/,(917) 741-8954,4.4,102,"Monday: Closed, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 5:00 – 11:00 PM, Sunday: Closed",info@gem-nyc.com,,inKind,,"My favourite food I had in the city, and we ate at two Michelin starred restaurants! They had an incredible chanterelle and nectarine dish when we dined there that I still think about. The interior is lovely, however the room is very loud and they should improve the acoustics! Also service was not amazing. Food though, excellent.",Mackenzie Bird,4,Schnitzel,"Here is a draft intro for your email:

My friends and I enjoyed a fun evening out at Gem Wine the other night. We shared the tasty schnitzel, which perfectly paired with the cozy atmosphere and friendly service."
Scarr’s Pizza,Scarr's Pizza,"35 Orchard St, New York, NY 10002, USA",1,"restaurant, point_of_interest, food, establishment",BB1,http://www.scarrspizza.com/,(212) 334-3481,4.4,3791,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 1:00 AM, Saturday: 12:00 PM – 1:00 AM, Sunday: 12:00 PM – 12:00 AM",contact@scarrspizza.com,,,OpenTable,"If you love pizza you will love Scarr’s! They offer classic NY style and Sicilian squares and both are top-notch.

Sitting at the bar is a great experience- order a beer, order a slice, repeat. Our bartender was helpful and friendly as well.

I had a NY classic cheese slice & a “hotboy” square. The toppings are perfectly balanced and the pies are cooked perfectly.",Peter Caira,5,"Based on the reviews, the most popular/most-mentioned dish or drink is the hot boi slice.","Here is a draft email intro describing an experience at Scarr's Pizza with friends:

Last weekend, I grabbed pizza and drinks at Scarr's with a few friends. We ordered the popular ""hot boi"" square - so tasty!"
Scarr’s Pizza,Scarr's Pizza,"35 Orchard St, New York, NY 10002, USA",1,"restaurant, point_of_interest, food, establishment",BB1,http://www.scarrspizza.com/,(212) 334-3481,4.4,3791,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 1:00 AM, Saturday: 12:00 PM – 1:00 AM, Sunday: 12:00 PM – 12:00 AM",party@scarrspizza.com,,,OpenTable,"If you love pizza you will love Scarr’s! They offer classic NY style and Sicilian squares and both are top-notch.

Sitting at the bar is a great experience- order a beer, order a slice, repeat. Our bartender was helpful and friendly as well.

I had a NY classic cheese slice & a “hotboy” square. The toppings are perfectly balanced and the pies are cooked perfectly.",Peter Caira,5,"Based on the reviews, the most popular/most-mentioned dish or drink is the hot boi slice.","Here is a draft email intro describing an experience at Scarr's Pizza with friends:

Last weekend, I grabbed pizza and drinks at Scarr's with a few friends. We ordered the popular ""hot boi"" square - so tasty!"
Okiboru,Okiboru House of Tsukemen,"117 Orchard St, New York, NY 10002, USA",,"restaurant, food, point_of_interest, establishment",BB1,https://okiboru.com/new-york,(917) 965-2223,4.6,617,"Monday: Closed, Tuesday: 12:00 – 3:00 PM, 5:00 – 9:00 PM, Wednesday: 12:00 – 3:00 PM, 5:00 – 9:00 PM, Thursday: 12:00 – 3:00 PM, 5:00 – 9:00 PM, Friday: 12:00 – 3:00 PM, 5:00 – 9:00 PM, Saturday: 12:00 – 9:00 PM, Sunday: 12:00 – 8:00 PM",info@okiboru.com,Toast,,,"A counter-seating ramen spot that specializes in Tsukemen. The overall flavors are phenomenal, with a refreshing hint of lime as garnish, and the noodles are perfectly chewy. The torched chashu is tender and well flavored, and the broth is rich and (deliciously) fishy. I also appreciate the option to choose between cold or warm Tsukemen. The service is very efficient with ordering handled via your phone.",Bill Wang,5,tsukemen,My friends and I had such a lovely time enjoying tsukemen at Okiboru House. The cozy atmosphere and exceptional service made for a wonderful evening out.
Le Dive,Le Dive,"37 Canal St, New York, NY 10002, USA",,"night_club, bar, food, point_of_interest, establishment",BB3,http://www.ledivenyc.com/,,4.2,209,"Monday: 3:00 PM – 12:00 AM, Tuesday: 3:00 PM – 1:00 AM, Wednesday: 3:00 PM – 1:00 AM, Thursday: 3:00 PM – 2:00 AM, Friday: 2:00 PM – 2:00 AM, Saturday: 12:00 PM – 2:00 AM, Sunday: 12:00 PM – 12:00 AM",info@ledivenyc.com,,,Resy,"French inspired dive bar (as the name would suggest). It's tight and cozy. Bar service is competent. The food is the real show stopper here, kinda unexpected. It's all great, people really love the Steak Frites, and the burger kills, but the salads really put out. Pea shoots folks! It's kinda like you hit up a really good neighborhood brasserie in a small French town. Try the radishes and butter 🧈!",Ryley Thompson,5,Steak Frites,"Here is a draft personal email intro describing my experience at Le Dive:

My friends and I had such a lovely time at Le Dive last night. We ordered the Steak Frites and enjoyed the cozy, welcoming ambiance and friendly service over great conversation."
63Clinton,Sixty Three Clinton,"63 Clinton St, New York, NY 10002, USA",,"restaurant, point_of_interest, food, establishment",BB1,https://www.63clinton.com/,(917) 663-6223,4.7,380,"Monday: Closed, Tuesday: 6:00 – 11:00 PM, Wednesday: 6:00 – 11:00 PM, Thursday: 6:00 – 11:00 PM, Friday: 6:00 – 11:00 PM, Saturday: 6:00 – 11:00 PM, Sunday: Closed",Creativebianca@pommecreative.com,Toast,,Resy,"This place has managed to capture the magic of gourmet new American cuisine, lower east side clientele, and that feeling you get when the ownership and staff make you feel like this place belongs to you. Three food is incredible, the vibe is stellar, and the staff make this place unforgettable. Service was top notch and it was just really fun. I highly recommend sitting at the bar where you will no doubt be entertained by the bar tender, the staff, the owners, and anyone who chooses to sit at the bar. We will return and we can't wait to see what they've changed on the menu that'll surely delight.",Fred Alexander R.,5,"Based on the reviews, the most popular/most-mentioned dish seems to be the ""caviar hand roll"". This dish is specifically called out by name in multiple reviews.","Here is a draft personal email intro describing my experience:

My friends and I had such a lovely time at Sixty Three Clinton the other night. We ordered the caviar hand rolls and enjoyed the cozy ambiance and warm hospitality."
63Clinton,Sixty Three Clinton,"63 Clinton St, New York, NY 10002, USA",,"restaurant, point_of_interest, food, establishment",BB1,https://www.63clinton.com/,(917) 663-6223,4.7,380,"Monday: Closed, Tuesday: 6:00 – 11:00 PM, Wednesday: 6:00 – 11:00 PM, Thursday: 6:00 – 11:00 PM, Friday: 6:00 – 11:00 PM, Saturday: 6:00 – 11:00 PM, Sunday: Closed",info@63clinton.com,Toast,,Resy,"This place has managed to capture the magic of gourmet new American cuisine, lower east side clientele, and that feeling you get when the ownership and staff make you feel like this place belongs to you. Three food is incredible, the vibe is stellar, and the staff make this place unforgettable. Service was top notch and it was just really fun. I highly recommend sitting at the bar where you will no doubt be entertained by the bar tender, the staff, the owners, and anyone who chooses to sit at the bar. We will return and we can't wait to see what they've changed on the menu that'll surely delight.",Fred Alexander R.,5,"Based on the reviews, the most popular/most-mentioned dish seems to be the ""caviar hand roll"". This dish is specifically called out by name in multiple reviews.","Here is a draft personal email intro describing my experience:

My friends and I had such a lovely time at Sixty Three Clinton the other night. We ordered the caviar hand rolls and enjoyed the cozy ambiance and warm hospitality."
Corner Bar,Corner Bar,"60 Canal St, New York, NY 10002, USA",,"restaurant, bar, food, point_of_interest, establishment",BB3,http://cornerbarnyc.com/,(646) 869-9310,4,195,"Monday: 7:30 AM – 10:30 PM, Tuesday: 7:30 AM – 10:30 PM, Wednesday: 7:30 AM – 10:30 PM, Thursday: 7:30 AM – 11:00 PM, Friday: 7:30 AM – 11:00 PM, Saturday: 7:30 AM – 11:00 PM, Sunday: 7:30 AM – 10:00 PM",info@cornerbarnyc.com,Toast,,Resy,"I don't know why this place doesn't have better reviews. I was a bit reluctant before I went for the first time because the reviews were at 4.0. I had walked by the place and it looked nice from the outside, so I decided to try it even with a 4.0 review rating and I am really glad that I did, because it was great.

We sat at the bar so we could sit side-by-side. We had the Trout and Fries. Both were done perfectly. Our server was one of the bartenders and was super. My wife doesn't eat onions or tomatoes and that can be hard sometimes to find a dish. The server took care to ensure my wife's order didn't have those ingredients and seemed genuinely interested in helping us have a great experience.

I also think that potentially some of the bad ratings here are for a different restaurant than this one because the food shown in the photos doesn't look like what they serve here.

I highly recommend this place. It was great all around.",Mark Mangrich,5,shrimp cocktail,"Here is a draft personal-sounding email intro describing an experience with friends at Corner Bar:

Last Friday I met up with my friends at this really cozy bar in the neighborhood, Corner Bar, where we shared platters of delicious shrimp cocktail and fries while catching up over drinks."
Wayla,Wayla,"100 Forsyth St, New York, NY 10002, USA",2,"park, restaurant, food, point_of_interest, establishment",BB1,https://www.waylanyc.com/,(212) 206-2500,4.4,912,"Monday: 12:00 – 3:00 PM, 5:00 – 10:30 PM, Tuesday: 12:00 – 3:00 PM, 5:00 – 10:30 PM, Wednesday: 12:00 – 3:00 PM, 5:00 – 10:30 PM, Thursday: 12:00 – 3:00 PM, 5:00 – 11:00 PM, Friday: 12:00 – 3:00 PM, 5:00 – 11:00 PM, Saturday: 12:00 – 3:00 PM, 5:00 – 11:00 PM, Sunday: 12:00 – 3:00 PM, 5:00 – 10:30 PM",hello@waylanyc.com,,,Resy,I would like to come here at least once a month. And I intend to order the same dishes every time because they are perfection. Great service and classic NYC basement dining vibes. Super cute patio with strong lights in the backyard too,Elizabeth Fischer,5,mango sticky rice,"Here is a draft personal-sounding email intro describing an experience at Wayla with friends, focusing on the ambiance and mango sticky rice:

My friends and I had the best time trying the mango sticky rice at Wayla last week! The cozy basement vibe made for a fun girls' night out."
The Metrograph Commissary,Metrograph,"7 Ludlow St, New York, NY 10002, USA",3,"movie_theater, night_club, cafe, bar, restaurant, food, point_of_interest, establishment",BB3,http://metrograph.com/,(212) 660-0312,4.6,1283,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 11:00 AM – 12:00 AM, Sunday: 11:00 AM – 12:00 AM",,,,Resy,This theater is so dope. Very small and seems like independent venue. Went for a screening of a few African films and to buy a book from Amy Sall. Got a mock tail from the bar. Definitely recommend you check out the films showing.,PILI X,5,mock tail,"Last weekend my friends and I checked out Metrograph. We ordered mock tails from the bar and really enjoyed the cozy, indie vibe."
