whole name,name,address,price level,types,service type,website,phone number,rating,review count,opening hours,Category
Manhattan Indian Flavor 10003 greater NYC area,Manhattan Indian Flavor,"311 2nd Ave, New York, NY 10003, USA",2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://manhattanindianflavor.com/,(917) 472-7667,4.5,145.0,"Monday: 11:00 AM – 3:00 PM, 4:30 – 10:00 PM, Tuesday: 11:00 AM – 3:00 PM, 4:30 – 10:00 PM, Wednesday: 11:00 AM – 3:00 PM, 4:30 – 10:00 PM, Thursday: 11:00 AM – 3:00 PM, 4:30 – 10:00 PM, Friday: 11:00 AM – 3:00 PM, 4:30 – 10:30 PM, Saturday: 11:00 AM – 3:00 PM, 4:30 – 10:30 PM, Sunday: 11:00 AM – 3:00 PM, 4:30 – 10:00 PM",BB3
Kingston Hall 10003 greater NYC area,Kingston Hall,"149 2nd Ave, New York, NY 10003, USA",2.0,"['bar', 'point_of_interest', 'establishment']",Unknown,http://www.kingstonhall.com/,,4.3,469.0,"Monday: 4:00 PM – 2:00 AM, Tuesday: 4:00 PM – 2:00 AM, Wednesday: 4:00 PM – 2:00 AM, Thursday: 4:00 PM – 2:00 AM, Friday: 4:00 PM – 4:00 AM, Saturday: 1:00 PM – 4:00 AM, Sunday: 3:00 PM – 12:00 AM",BB3
Sushi Sen-Nin 10016 greater NYC area,Sushi Sen-Nin,"30 E 33rd St, New York, NY 10016, USA",3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Full Service,http://sushisennin.com/,(212) 889-2208,4.3,261.0,"Monday: 11:45 AM – 2:30 PM, 4:30 – 9:00 PM, Tuesday: 11:45 AM – 2:30 PM, 4:30 – 9:00 PM, Wednesday: 11:45 AM – 2:30 PM, 4:30 – 9:00 PM, Thursday: 11:45 AM – 2:30 PM, 4:30 – 9:00 PM, Friday: 11:45 AM – 2:30 PM, 4:30 – 9:00 PM, Saturday: Closed, Sunday: Closed",BB1
Holiday Cocktail Lounge 10003 greater NYC area,Holiday Cocktail Lounge,"75 St Marks Pl, New York, NY 10003, USA",2.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,https://www.holidaycocktaillounge.bar/,(212) 777-9637,4.4,573.0,"Monday: 4:00 PM – 2:00 AM, Tuesday: 4:00 PM – 2:00 AM, Wednesday: 4:00 PM – 2:00 AM, Thursday: 8:00 AM – 2:00 AM, Friday: 8:00 AM – 2:00 AM, Saturday: 8:00 AM – 2:00 AM, Sunday: 4:00 PM – 2:00 AM",BB3
Tsukimi 10003 greater NYC area,Tsukimi,"228 E 10th St, New York, NY 10003, USA",,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.tsukimi.nyc/,,4.6,116.0,"Monday: Closed, Tuesday: Closed, Wednesday: 5:30 – 8:30 PM, Thursday: 5:30 – 8:30 PM, Friday: 5:30 – 8:30 PM, Saturday: 5:00 – 8:00 PM, Sunday: 5:00 – 8:00 PM",BB1
Pippali 10016 greater NYC area,Pippali,"129 E 27th St, New York, NY 10016, USA",2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://www.pippalinyc.com/,(212) 689-1999,4.3,937.0,"Monday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Tuesday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Wednesday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Thursday: 11:30 AM – 3:00 PM, 5:00 – 10:00 PM, Friday: 11:30 AM – 3:00 PM, 5:00 – 10:30 PM, Saturday: 12:00 – 3:00 PM, 5:00 – 10:30 PM, Sunday: 12:00 – 3:00 PM, 5:00 – 10:00 PM",BB1
Soothr 10003 greater NYC area,Soothr,"204 E 13th St, New York, NY 10003, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://soothrnyc.com/,(212) 844-9789,4.7,2937.0,"Monday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Tuesday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Wednesday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Thursday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Friday: 12:00 – 3:30 PM, 5:00 – 11:00 PM, Saturday: 12:00 – 3:30 PM, 5:00 – 11:00 PM, Sunday: 12:00 – 3:30 PM, 5:00 – 10:00 PM",BB1
Petit Chou 10003 greater NYC area,Petit Chou,"229 1st Ave., New York, NY 10003, USA",1.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']",Unknown,https://www.petitchounyc.com/,(917) 475-1620,4.7,343.0,"Monday: 8:00 AM – 8:00 PM, Tuesday: 8:00 AM – 8:00 PM, Wednesday: 8:00 AM – 8:00 PM, Thursday: 8:00 AM – 8:00 PM, Friday: 8:00 AM – 9:00 PM, Saturday: 8:00 AM – 9:00 PM, Sunday: 9:00 AM – 9:00 PM",BB2
Martiny’s 10003 greater NYC area,Martiny’s,"121 E 17th St, New York, NY 10003, USA",,"['bar', 'point_of_interest', 'establishment']",Unknown,http://www.martinys.com/,,4.3,282.0,"Monday: 6:00 PM – 1:00 AM, Tuesday: Closed, Wednesday: 6:00 PM – 1:00 AM, Thursday: 6:00 PM – 1:00 AM, Friday: 6:00 PM – 1:00 AM, Saturday: 6:00 PM – 1:00 AM, Sunday: 6:00 PM – 1:00 AM",BB3
DokoDemo 10003 greater NYC area,DokoDemo,"89 E 4th St, New York, NY 10003, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://www.dokodemonyc.com/,(917) 261-5228,4.6,564.0,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 11:30 AM – 9:00 PM, Thursday: 11:30 AM – 9:00 PM, Friday: 11:30 AM – 9:00 PM, Saturday: 11:30 AM – 9:00 PM, Sunday: 11:30 AM – 8:00 PM",BB1
Breads Bakery 10003 greater NYC area,Breads Bakery,"18 E 16th St, New York, NY 10003, USA",2.0,"['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",Unknown,https://www.breadsbakery.com/,(212) 633-2253,4.6,2249.0,"Monday: 7:00 AM – 8:00 PM, Tuesday: 7:00 AM – 8:00 PM, Wednesday: 7:00 AM – 8:00 PM, Thursday: 7:00 AM – 8:00 PM, Friday: 7:00 AM – 8:00 PM, Saturday: 7:00 AM – 8:00 PM, Sunday: 7:00 AM – 8:00 PM",BB2
Frank's Trattoria 10010 greater NYC area,Frank's Trattoria,"371 1st Ave., New York, NY 10010, USA",1.0,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://frankstrattoriaonfirst.com/,(212) 677-7141,4.2,337.0,"Monday: 11:00 AM – 10:30 PM, Tuesday: 11:00 AM – 10:30 PM, Wednesday: 11:00 AM – 10:30 PM, Thursday: 11:00 AM – 10:30 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 10:30 PM",BB1
The Headless Widow 10003 greater NYC area,The Headless Widow,"99 1st Ave., New York, NY 10003, USA",2.0,"['bar', 'point_of_interest', 'establishment']",Unknown,https://www.theheadlesswidow.com/,(917) 409-0446,4.7,404.0,"Monday: Closed, Tuesday: 5:00 PM – 1:00 AM, Wednesday: 5:00 PM – 1:00 AM, Thursday: 5:00 PM – 2:00 AM, Friday: 4:00 PM – 2:00 AM, Saturday: 4:00 PM – 2:00 AM, Sunday: 4:00 PM – 1:00 AM",BB3
Knickerbocker 10003 greater NYC area,Knickerbocker Bar & Grill,"33 University Pl, New York, NY 10003, USA",3.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Full Service,http://www.knickerbockerbarandgrill.com/,(212) 228-8490,4.4,709.0,"Monday: 5:00 – 11:00 PM, Tuesday: 5:00 – 11:00 PM, Wednesday: 5:00 – 11:00 PM, Thursday: 5:00 – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 5:00 – 11:00 PM, Sunday: 5:00 – 11:00 PM",BB3
The Black Ant 10003 greater NYC area,The Black Ant,"60 2nd Ave, New York, NY 10003, USA",2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://theblackantnyc.com/,(212) 598-0300,4.2,659.0,,BB3
YJRG 10010 greater NYC area,New York,"New York, NY, USA",,"['locality', 'political']",Unknown,http://www.nyc.gov/,,,,,Not a restaurant
Edo Sushi 10003 greater NYC area,Edo Sushi,"9 E 17th St, New York, NY 10003, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://edosushinyc.com/,(212) 989-2938,4.4,465.0,"Monday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Tuesday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Wednesday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Thursday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Friday: 12:00 – 3:00 PM, 5:00 – 9:30 PM, Saturday: 5:00 – 9:30 PM, Sunday: Closed",BB1
The Factory 380 10016 greater NYC area,The Factory 380,"380 3rd Ave, New York, NY 10016, USA",2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.thefactory380.com/,(212) 686-6380,4.5,396.0,"Monday: 4:00 PM – 3:00 AM, Tuesday: 4:00 PM – 3:00 AM, Wednesday: 4:00 PM – 4:00 AM, Thursday: 4:00 PM – 4:00 AM, Friday: 3:00 PM – 4:00 AM, Saturday: 11:00 AM – 4:00 AM, Sunday: 11:00 AM – 4:00 AM",BB3
Abbey Tavern 10010 greater NYC area,Abbey Tavern,"354 3rd Ave, New York, NY 10010, USA",2.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://abbeytavernnyc.com/,(212) 696-1011,4.3,362.0,"Monday: 3:00 PM – 1:00 AM, Tuesday: 11:00 AM – 1:00 AM, Wednesday: 11:00 AM – 2:00 AM, Thursday: 11:00 AM – 2:00 AM, Friday: 11:00 AM – 2:00 AM, Saturday: 10:00 AM – 2:00 AM, Sunday: 10:00 AM – 1:00 AM",BB3
Downtown Social 10003 greater NYC area,Downtown Social,"149 2nd Ave, New York, NY 10003, USA",,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://www.downtownsocialnyc.com/,(212) 228-8020,4.3,92.0,,BB3
Café-Flor 10010 greater NYC area,Café-Flor / Bar 21,"218 8th Ave, New York, NY 10011, USA",1.0,"['florist', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']",Unknown,https://www.raulavilainc.com/Raul_Inc/cafe,(347) 990-2100,4.2,390.0,"Monday: 7:00 AM – 9:00 PM, Tuesday: 7:00 AM – 9:00 PM, Wednesday: 7:00 AM – 9:00 PM, Thursday: 7:00 AM – 9:00 PM, Friday: 7:00 AM – 11:00 PM, Saturday: 7:00 AM – 11:00 PM, Sunday: 8:00 AM – 9:00 PM",BB3
Reservoir 10003 greater NYC area,Reservoir,"70 University Pl # A, New York, NY 10003, USA",1.0,"['bar', 'point_of_interest', 'establishment']",Unknown,http://reservoirny.com/,(212) 475-0770,4.1,498.0,"Monday: 12:00 PM – 2:00 AM, Tuesday: 12:00 PM – 2:00 AM, Wednesday: 12:00 PM – 2:00 AM, Thursday: 12:00 PM – 2:00 AM, Friday: 12:00 PM – 2:00 AM, Saturday: 11:00 AM – 2:00 AM, Sunday: 11:00 AM – 2:00 AM",BB3
Cibar 10003 greater NYC area,Cibar,"56 Irving Pl, New York, NY 10003, USA",2.0,"['night_club', 'bar', 'point_of_interest', 'establishment']",Unknown,http://cibarnyc.com/,(212) 460-5656,4.5,207.0,"Monday: Closed, Tuesday: 5:00 PM – 12:00 AM, Wednesday: 5:00 PM – 12:00 AM, Thursday: 5:00 PM – 12:00 AM, Friday: 5:00 PM – 2:00 AM, Saturday: 6:00 PM – 2:00 AM, Sunday: Closed",BB3
Schmear Bagel Café 10016 greater NYC area,Bagels & Schmear,"116 E 28th St, New York, NY 10016, USA",1.0,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",Likely Full Service,http://www.bagelsandschmear.com/,(212) 725-7873,4.6,1487.0,"Monday: 6:00 AM – 3:00 PM, Tuesday: 6:00 AM – 3:00 PM, Wednesday: 6:00 AM – 3:00 PM, Thursday: 6:00 AM – 3:00 PM, Friday: 6:00 AM – 3:00 PM, Saturday: 6:00 AM – 4:00 PM, Sunday: 6:00 AM – 4:00 PM",BB1
Omakase Sushi Dairo 10003 greater NYC area,Omakase SUSHI DAIRO,"208 3rd Ave, New York, NY 10003, USA",,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://omakasesushidairo.com/,(212) 529-4193,4.8,248.0,"Monday: 12:00 – 2:30 PM, 5:00 – 10:00 PM, Tuesday: 12:00 – 2:30 PM, 5:00 – 10:00 PM, Wednesday: 12:00 – 2:30 PM, 5:00 – 10:00 PM, Thursday: 12:00 – 2:30 PM, 5:00 – 10:00 PM, Friday: 12:00 – 2:30 PM, 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: Closed",BB1
Little Poland 10003 greater NYC area,Little Poland,"200 2nd Ave, New York, NY 10003, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,,(212) 777-9728,4.4,1013.0,"Monday: 7:00 AM – 11:00 PM, Tuesday: 7:00 AM – 11:00 PM, Wednesday: 7:00 AM – 11:00 PM, Thursday: 7:00 AM – 11:00 PM, Friday: 7:00 AM – 11:00 PM, Saturday: 7:00 AM – 11:00 PM, Sunday: 7:00 AM – 11:00 PM",BB1
Jiang’s Kitchen 10003 greater NYC area,Jiang's Kitchen 疆湖 - Halal Chinese Food,"65 St Marks Pl, New York, NY 10003, USA",2.0,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://www.jiangskitchenny.com/,(646) 398-7722,4.5,394.0,"Monday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Tuesday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Wednesday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Thursday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Friday: 12:00 – 3:30 PM, 5:00 – 10:00 PM, Saturday: 12:00 – 10:00 PM, Sunday: 12:00 – 10:00 PM",BB1
Wok in the Clouds 10016 greater NYC area,WOK IN THE CLOUDS,"127 E 28th St, New York, NY 10016, USA",2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://www.wokitc.com/,(212) 784-6498,4.3,196.0,"Monday: 11:00 AM – 11:30 PM, Tuesday: 11:00 AM – 11:30 PM, Wednesday: 11:00 AM – 11:30 PM, Thursday: 11:00 AM – 11:30 PM, Friday: 11:00 AM – 12:00 AM, Saturday: 11:00 AM – 12:00 AM, Sunday: 11:00 AM – 11:30 PM",BB1
DORADO Tacos & Quesadillas 10003 greater NYC area,DORADO Tacos & Quesadillas,"28 E 12th St, New York, NY 10003, USA",1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://doradotacos.com/,(212) 627-0900,4.5,946.0,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 11:00 AM – 9:00 PM, Sunday: 12:00 – 8:00 PM",BB1
Çka Ka Qëllue 10016 greater NYC area,Çka Ka Qëllue,"118 E 31st St, New York, NY 10016, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,https://ckakaqellue.com/,(212) 213-2082,4.8,1292.0,"Monday: 12:00 – 10:00 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 12:00 – 11:00 PM, Sunday: 12:00 – 10:00 PM",BB1
The Ready Rooftop Bar 10003 greater NYC area,The Ready Rooftop Bar,"112 E 11th St, New York, NY 10003, USA",2.0,"['bar', 'point_of_interest', 'establishment']",Unknown,http://moxyeastvillage.com/the-ready-rooftop-bar/,(646) 908-2125,3.7,402.0,"Monday: Closed, Tuesday: Closed, Wednesday: 4:00 – 11:00 PM, Thursday: 4:00 – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 12:00 – 11:00 PM, Sunday: 12:00 – 11:00 PM",BB3
Amorino Gelato - New York Greenwich Village 10003 greater NYC area,Amorino Gelato - New York Greenwich Village,"60 University Pl, New York, NY 10003, USA",2.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Likely Full Service,https://www.amorino.com/en-us?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,(212) 253-5599,4.5,1565.0,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:30 PM, Sunday: 11:00 AM – 11:30 PM",BB1
Milu 10010 greater NYC area,Milu,"333 Park Ave S, New York, NY 10010, USA",1.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.eatmilu.com/,(212) 377-6403,4.6,387.0,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 12:00 – 8:30 PM, Sunday: 12:00 – 8:30 PM",BB1
Peacefood - Union Square 10003 greater NYC area,Peacefood - Union Square,"41 E 11th St, New York, NY 10003, USA",2.0,"['bakery', 'cafe', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",Likely Full Service,https://www.peacefoodnyc.com/,(212) 979-2288,4.5,1265.0,"Monday: 11:30 AM – 9:30 PM, Tuesday: 11:30 AM – 9:30 PM, Wednesday: 11:30 AM – 9:30 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:30 AM – 9:30 PM",BB1
MUD SPOT aka MUD 10003 greater NYC area,MUD,"307 E 9th St, New York, NY 10003, USA",2.0,"['cafe', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,http://www.mudnyc.com/,(212) 228-9074,4.5,1108.0,"Monday: 7:30 AM – 11:00 PM, Tuesday: 7:30 AM – 11:00 PM, Wednesday: 7:30 AM – 11:00 PM, Thursday: 7:30 AM – 11:00 PM, Friday: 7:30 AM – 11:00 PM, Saturday: 8:00 AM – 11:00 PM, Sunday: 8:00 AM – 11:00 PM",BB3
Bistango 10016 greater NYC area,Bistango,"145 East 50th Street, between Lexington and, 3rd Ave, New York, NY 10022, USA",2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.bistangonyc.com/kimberly,(212) 888-4121,4.4,561.0,"Monday: 12:00 – 9:00 PM, Tuesday: 12:00 – 9:00 PM, Wednesday: 12:00 – 9:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 9:00 PM",BB3
House of Lasagna 10016 greater NYC area,House of Lasagna,"334 Lexington Ave, New York, NY 10016, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://houseoflasagnanyc.com/,(212) 883-9555,4.3,593.0,"Monday: 4:30 – 9:00 PM, Tuesday: 12:00 – 9:00 PM, Wednesday: 12:00 – 9:00 PM, Thursday: 12:00 – 9:00 PM, Friday: 12:00 – 9:00 PM, Saturday: 4:30 – 9:00 PM, Sunday: 4:30 – 9:00 PM",BB1
TheCreativeShake 10010 greater NYC area,TheCreativeShake LLC,"1115 Broadway, New York, NY 10010, USA",,"['point_of_interest', 'establishment']",Unknown,http://www.thecreativeshake.com/,(914) 719-6398,,,"Monday: 10:00 AM – 6:00 PM, Tuesday: 10:00 AM – 6:00 PM, Wednesday: 10:00 AM – 6:00 PM, Thursday: 10:00 AM – 6:00 PM, Friday: 10:00 AM – 6:00 PM, Saturday: Closed, Sunday: Closed",Not a restaurant
The Copper Still East Village 10003 greater NYC area,The Copper Still East Village,"151 2nd Ave, New York, NY 10003, USA",2.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://www.thecopperstillnyc.com/,(212) 510-8469,4.4,446.0,"Monday: 4:00 PM – 1:00 AM, Tuesday: 4:00 PM – 1:00 AM, Wednesday: 4:00 PM – 1:00 AM, Thursday: 4:00 PM – 2:00 AM, Friday: 12:00 PM – 4:00 AM, Saturday: 11:00 AM – 4:00 AM, Sunday: 11:00 AM – 12:00 AM",BB3
El Rio Grande 10016 greater NYC area,El Rio Grande,"160 E 38th St, New York, NY 10016, USA",2.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Likely Full Service,https://elriograndenyc.com/,(212) 867-0922,4.2,1229.0,"Monday: 12:00 – 9:30 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 11:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 12:00 – 11:00 PM, Sunday: 12:00 – 9:30 PM",BB1
3 Times 10003 greater NYC area,3 Times,"818 Broadway, New York, NY 10003, USA",2.0,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",Likely Full Service,http://www.3times.com/,(646) 609-3040,4.0,378.0,"Monday: 11:00 AM – 9:15 PM, Tuesday: 11:00 AM – 12:00 AM, Wednesday: 11:00 AM – 12:00 AM, Thursday: 11:00 AM – 12:00 AM, Friday: 11:00 AM – 12:00 AM, Saturday: 11:30 AM – 11:00 PM, Sunday: 11:30 AM – 12:00 AM",BB1
Han Dynasty 10003 greater NYC area,Han Dynasty,"90 3rd Ave, New York, NY 10003, USA",2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Likely Full Service,http://handynasty.net/east-village/,(212) 390-8685,4.3,1445.0,"Monday: 11:30 AM – 10:00 PM, Tuesday: 11:30 AM – 10:00 PM, Wednesday: 11:30 AM – 12:00 AM, Thursday: 11:30 AM – 12:00 AM, Friday: 11:30 AM – 12:00 AM, Saturday: 11:30 AM – 12:00 AM, Sunday: 11:30 AM – 12:00 AM",BB1
