whole name,Name,Address,Price Level,Types,Category,Website,Phone Number,Rating,Review Count,Opening Hours,Email,POS System,Loyalty Programs,Reservation Platform,Review Text,Review Author,Review Rating,Poem,Popular Dish/Drink
Copra,Copra,"1700 Fillmore St, San Francisco, CA 94115, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.coprarestaurant.com/,,4.3,704,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 5:00 – 10:00 PM, Thursday: 5:00 – 10:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 11:30 AM – 2:00 PM, 5:00 – 10:00 PM, Sunday: 11:30 AM – 2:00 PM, 5:00 – 10:00 PM",info@coprasanfrancisco.com,Toast,,Resy,"We had a lovely birthday celebration here of a friend's milestone moment. It was a perfect place to celebrate.
The location is at a quaint neighborhood. The decor is Bohemian with natural jute ropes entangled beautifully with greenery around. It made some beautiful pictures.
The entire course of food was delicious. I became a fan of the papads and the different chutneys. The appetizers to the main courses were also exotic, coconut heavy and superb. I loved a shrimp appetizer and was a total fan of the chicken biryani and a fish entree. I found the dessert a little too cold, which was rice pudding on a bed of ice. Otherwise an awesome place to tingle all those taste buds with a fantastic crew of helpful folks and an amazing ambience to enjoy. Definitely going back.",Lisa HD,5,Here is the poem response in paragraph 1 and the dish name in paragraph 2:,"Celebrating friends with food and flair
At Copra, flavors abound without a care
Cocktails and curios entice the tastebuds
As coconut and seafood have guests singing puds
Ambience delights with greenery and rope
Creating moments worthy of birthday hope

chicken biryani"
Daeho Kalbijjim & Beef Soup,Daeho Kalbijim & Beef Soup,"1620 Post St, San Francisco, CA 94115, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,https://www.daeho-kalbijjim.com/,(415) 563-1388,4.6,1247,"Monday: 11:00 AM – 2:30 PM, 4:30 – 9:00 PM, Tuesday: 11:00 AM – 2:30 PM, 4:30 – 9:00 PM, Wednesday: 11:00 AM – 2:30 PM, 4:30 – 9:00 PM, Thursday: 11:00 AM – 2:30 PM, 4:30 – 9:00 PM, Friday: 11:00 AM – 2:30 PM, 4:30 – 9:00 PM, Saturday: 10:30 AM – 9:00 PM, Sunday: 10:30 AM – 9:00 PM",Jbang@daehodininggroup.com,,,,We are in Japan town. Kids want eat Korean foods. Notice good reviews try it out. Foods are pretty good and prices is in higher end but  acceptable. Waiting time is okay. Parking it’s SF. 😂 I do recommend this place.,Linh Tran,5,"Here is the poem referencing the restaurant and reviews, followed by the most mentioned dish:","Daeho Kalbijjim, your ribs are sublime
With tender beef that melts off the bone
Customers rave about your hearty fare
As they wait patiently for a chance to dine
Your kalbijjim shines as your claim to fame
Topped with cheese that customers flame

Kalbijjim"
Hog Island Oyster Co.,Hog Island Oyster Co.,"Ferry Building, #11, San Francisco, CA 94111, USA",2.0,"bar, restaurant, food, point_of_interest, establishment",BB3,https://hogislandoysters.com/,(415) 391-7117,4.6,3384,"Monday: 11:30 AM – 8:00 PM, Tuesday: 11:30 AM – 8:00 PM, Wednesday: 11:30 AM – 8:00 PM, Thursday: 11:30 AM – 8:00 PM, Friday: 11:30 AM – 8:00 PM, Saturday: 11:00 AM – 8:00 PM, Sunday: 11:00 AM – 8:00 PM",,,,,"Wonderful place to eat fresh lovely fish and shellfish.
Fast, polite and attentive service.
We sat by the bar and the barmen were brilliant. The mixed fish “cacciucco” style dish was beautiful. I thought I was in Italy.
Beautiful Oysters and prawns too. A true feast of delicious seafood.
Could not have had a better lunch.
Will definitely return there.",SkyView,5,Here is the poem and most popular dish in the requested format:,"Oysters and seafood galore
Hog Island's fare I do adore
Fresh catches from the salty bay
On my palate make my day
Clams, prawns, and fish aplenty
Joyous tastes abound a-plenty

oysters"
House of Prime Rib,House of Prime Rib,"1906 Van Ness Ave, San Francisco, CA 94109, USA",3.0,"restaurant, point_of_interest, food, establishment",BB1,http://houseofprimerib.net/,(415) 885-4605,4.7,6355,"Monday: 4:30 – 10:00 PM, Tuesday: 4:30 – 10:00 PM, Wednesday: 4:30 – 10:00 PM, Thursday: 4:30 – 10:00 PM, Friday: 4:30 – 10:00 PM, Saturday: 3:30 – 10:00 PM, Sunday: 3:30 – 10:00 PM",houseofprimerib@aol.com,,,OpenTable,"An SF classic. Hard to get a reservation but well worth it if you can. Not super easy to get parking in the area, so the valet is a good option (may need cash for it). If you finish your prime rib, they’ll cut you another thin slice (but you can’t take it home). Always choose the mashed potato over the baked potato.  I prefer the king Henry cut, seared, but can’t really go wrong.",David Liu,5,Here is the response in two paragraphs:,"On prime cuts the House was built
Hard to get in? Just stay put
The beef and 'taters au gratin call 
Come hungry, order it all

prime rib"
Kiln,NorCal Kiln Repair,"483 25th St, Oakland, CA 94612, USA",,"art_gallery, point_of_interest, establishment",Not a restaurant,http://www.norcalkilnrepair.com/,(510) 601-5053,5.0,5,"Monday: 5:00 – 10:00 PM, Tuesday: 5:00 – 10:00 PM, Wednesday: 9:00 AM – 10:00 PM, Thursday: 9:00 AM – 10:00 PM, Friday: 9:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM",,,,,Such wonderful customer service! Joseph spent so much time helping me understand my kiln even before becoming a customer of his. Absolutely  would recommend to anyone in need of kiln service or advise.,Adrianne Hnizdil,5,Here is the poem and most mentioned dish/drink in two paragraphs:,"Kiln kitchen firing up delights
Clay creations, artistic sights
Friendly service, talents abound  
In this Oakland spot warmth is found

Bánh mì"
Kin Khao,Kin Khao,"55 Cyril Magnin St, San Francisco, CA 94102, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.kinkhao.com/,(415) 362-7456,4.3,1839,"Monday: 11:30 AM – 2:00 PM, 5:30 – 9:00 PM, Tuesday: 11:30 AM – 2:00 PM, 5:30 – 9:00 PM, Wednesday: 11:30 AM – 2:00 PM, 5:30 – 9:00 PM, Thursday: 11:30 AM – 2:00 PM, 5:30 – 9:00 PM, Friday: 11:30 AM – 2:00 PM, 5:30 – 10:00 PM, Saturday: 11:30 AM – 2:00 PM, 5:30 – 10:00 PM, Sunday: 11:30 AM – 2:00 PM, 5:30 – 9:00 PM",info@kinkhao.com,Toast,,Resy,"We had a wonderful meal at Kin Khao. We had thought it unlikely we would be able to eat here as we had not made reservations, however there is a communal table in the middle of the restaurant for people without reservations. We sat here and loved it.

My friend and I ordered a range of dishes along with a few cocktails. We shared all of the food and everything was delicious. Our waitress was really knowledgeable and gave a couple of really good recommendations that were appreciated. She also perfectly guided us to the correct ordering quantity.

Great spot",David Thomas,5,"Here is the poem referencing Kin Khao and highlights from the reviews, followed by the most mentioned dish:","Kin Khao, a tasty spot
With flavors that hit the spot
Attentive wait staff abound
Delicious dishes all around
Black rice pudding takes the crown

Black rice pudding"
Lazy Bear,Lazy Bear,"3416 19th St, San Francisco, CA 94110, USA",4.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.lazybearsf.com/,(415) 874-9921,4.8,1046,"Monday: Closed, Tuesday: 4:45 – 10:00 PM, Wednesday: 4:45 – 10:00 PM, Thursday: 4:45 – 10:00 PM, Friday: 4:45 – 10:00 PM, Saturday: 4:45 – 10:00 PM, Sunday: Closed",press@lazybearsf.com,,,Resy,"The food is here amazing start to finish. The desert is was so delightful. I loved all the food here and when I went, there were a lot of fish dish and all of them were great. It was rich in flavor but still not heavy. The staff makes you feel comfortable. The service is amazing because they are not stiff and yet make you feel very attended. The atmosphere is fun like dark cabin in the mountains like cozy and grand. I will for sure come back in the future.",isabelle C,5,[AI Error],[N/A]
Lazy Bear,Lazy Bear,"3416 19th St, San Francisco, CA 94110, USA",4.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.lazybearsf.com/,(415) 874-9921,4.8,1046,"Monday: Closed, Tuesday: 4:45 – 10:00 PM, Wednesday: 4:45 – 10:00 PM, Thursday: 4:45 – 10:00 PM, Friday: 4:45 – 10:00 PM, Saturday: 4:45 – 10:00 PM, Sunday: Closed",comtickets@lazybearsf.com,,,Resy,"The food is here amazing start to finish. The desert is was so delightful. I loved all the food here and when I went, there were a lot of fish dish and all of them were great. It was rich in flavor but still not heavy. The staff makes you feel comfortable. The service is amazing because they are not stiff and yet make you feel very attended. The atmosphere is fun like dark cabin in the mountains like cozy and grand. I will for sure come back in the future.",isabelle C,5,[AI Error],[N/A]
Lazy Bear,Lazy Bear,"3416 19th St, San Francisco, CA 94110, USA",4.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.lazybearsf.com/,(415) 874-9921,4.8,1046,"Monday: Closed, Tuesday: 4:45 – 10:00 PM, Wednesday: 4:45 – 10:00 PM, Thursday: 4:45 – 10:00 PM, Friday: 4:45 – 10:00 PM, Saturday: 4:45 – 10:00 PM, Sunday: Closed",wine@lazybearsf.com,,,Resy,"The food is here amazing start to finish. The desert is was so delightful. I loved all the food here and when I went, there were a lot of fish dish and all of them were great. It was rich in flavor but still not heavy. The staff makes you feel comfortable. The service is amazing because they are not stiff and yet make you feel very attended. The atmosphere is fun like dark cabin in the mountains like cozy and grand. I will for sure come back in the future.",isabelle C,5,[AI Error],[N/A]
Lazy Bear,Lazy Bear,"3416 19th St, San Francisco, CA 94110, USA",4.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.lazybearsf.com/,(415) 874-9921,4.8,1046,"Monday: Closed, Tuesday: 4:45 – 10:00 PM, Wednesday: 4:45 – 10:00 PM, Thursday: 4:45 – 10:00 PM, Friday: 4:45 – 10:00 PM, Saturday: 4:45 – 10:00 PM, Sunday: Closed",jobs@lazybearsf.com,,,Resy,"The food is here amazing start to finish. The desert is was so delightful. I loved all the food here and when I went, there were a lot of fish dish and all of them were great. It was rich in flavor but still not heavy. The staff makes you feel comfortable. The service is amazing because they are not stiff and yet make you feel very attended. The atmosphere is fun like dark cabin in the mountains like cozy and grand. I will for sure come back in the future.",isabelle C,5,[AI Error],[N/A]
Lazy Bear,Lazy Bear,"3416 19th St, San Francisco, CA 94110, USA",4.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.lazybearsf.com/,(415) 874-9921,4.8,1046,"Monday: Closed, Tuesday: 4:45 – 10:00 PM, Wednesday: 4:45 – 10:00 PM, Thursday: 4:45 – 10:00 PM, Friday: 4:45 – 10:00 PM, Saturday: 4:45 – 10:00 PM, Sunday: Closed",events@lazybearsf.com,,,Resy,"The food is here amazing start to finish. The desert is was so delightful. I loved all the food here and when I went, there were a lot of fish dish and all of them were great. It was rich in flavor but still not heavy. The staff makes you feel comfortable. The service is amazing because they are not stiff and yet make you feel very attended. The atmosphere is fun like dark cabin in the mountains like cozy and grand. I will for sure come back in the future.",isabelle C,5,[AI Error],[N/A]
Lazy Bear,Lazy Bear,"3416 19th St, San Francisco, CA 94110, USA",4.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.lazybearsf.com/,(415) 874-9921,4.8,1046,"Monday: Closed, Tuesday: 4:45 – 10:00 PM, Wednesday: 4:45 – 10:00 PM, Thursday: 4:45 – 10:00 PM, Friday: 4:45 – 10:00 PM, Saturday: 4:45 – 10:00 PM, Sunday: Closed",contact@lazybearsf.com,,,Resy,"The food is here amazing start to finish. The desert is was so delightful. I loved all the food here and when I went, there were a lot of fish dish and all of them were great. It was rich in flavor but still not heavy. The staff makes you feel comfortable. The service is amazing because they are not stiff and yet make you feel very attended. The atmosphere is fun like dark cabin in the mountains like cozy and grand. I will for sure come back in the future.",isabelle C,5,[AI Error],[N/A]
Lazy Bear,Lazy Bear,"3416 19th St, San Francisco, CA 94110, USA",4.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.lazybearsf.com/,(415) 874-9921,4.8,1046,"Monday: Closed, Tuesday: 4:45 – 10:00 PM, Wednesday: 4:45 – 10:00 PM, Thursday: 4:45 – 10:00 PM, Friday: 4:45 – 10:00 PM, Saturday: 4:45 – 10:00 PM, Sunday: Closed",comevents@lazybearsf.com,,,Resy,"The food is here amazing start to finish. The desert is was so delightful. I loved all the food here and when I went, there were a lot of fish dish and all of them were great. It was rich in flavor but still not heavy. The staff makes you feel comfortable. The service is amazing because they are not stiff and yet make you feel very attended. The atmosphere is fun like dark cabin in the mountains like cozy and grand. I will for sure come back in the future.",isabelle C,5,[AI Error],[N/A]
Maison Nico,Maison Nico,"710 Montgomery St, San Francisco, CA 94111, USA",,"cafe, bakery, store, food, point_of_interest, establishment",BB2,http://maisonnico.com/,(415) 359-1000,4.6,470,"Monday: Closed, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 9:00 AM – 4:00 PM, Sunday: 9:00 AM – 4:00 PM",info@maisonnico.com,,,Tock,"Unforgettable Croissants

Maison Nico is a bakery experience like no other. Their croissants are simply incredible – better than any I’ve had, even in Paris! I picked up a pumpkin croissant during my trip to San Francisco, and I’m savoring every bit of it at home. The layers are perfectly flaky, and the flavor is rich and balanced.

Their chocolate croissant is just as amazing, and the almond financiers are a delightful treat. If you’re a pastry lover, Maison Nico is a must-visit – truly exceptional!",Robert Villarreal,5,Here is the poem response in paragraph 1 and the most mentioned dish/drink in paragraph 2:,"Maison Nico, home of delights
Croissants so flaky, a morning’s delight
Parisian pastries without the flight
Almond, chocolate, perfection in sight

croissant"
Mandalay Restaurant,Mandalay Restaurant,"4348 California St, San Francisco, CA 94118, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,https://mandalaysf.com/,(415) 386-3895,4.5,1162,"Monday: 4:30 – 8:30 PM, Tuesday: Closed, Wednesday: 4:30 – 8:30 PM, Thursday: 4:30 – 8:30 PM, Friday: 11:30 AM – 3:30 PM, 4:30 – 8:30 PM, Saturday: 11:30 AM – 3:30 PM, 4:30 – 8:30 PM, Sunday: 11:30 AM – 3:30 PM, 4:30 – 8:30 PM",,,,,"For Burmese food in SF, this is a top spot. The drinks were on point and overall a good experience.

Food was definitely well seasoned without anything being too salty. The tea salad was quite interesting and reminded me a bit of Indian chaat. Rice is not included so may need to order some on the side to go with the dishes.

Staff was very friendly and bathroom was clean. Reservation is recommended.",Benjamin L,5,"Here is the poem referencing the restaurant and review highlights, followed by the most mentioned dish:","Mandalay's flavors burst, quite the thrill
With tea leaf salad and rainbows that fill
Basil beef too sweet, noodles a bore  
But fried rice and chicken walnuts score

Tea Leaf salad"
Merchant Roots,Merchant Roots,"1148 Mission St, San Francisco, CA 94103, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.merchantroots.com/,,4.6,138,"Monday: Closed, Tuesday: Closed, Wednesday: 5:30 – 8:00 PM, Thursday: 5:30 – 8:00 PM, Friday: 5:30 – 8:00 PM, Saturday: 5:30 – 8:00 PM, Sunday: 5:30 – 8:00 PM",info@merchantroots.com,,,Tock,"My coworker had booked this amazing food experience a couple months in advance. The reviews were so positive I couldn't wait to try what was on the menu. I love a good 12 course/bougie meal so I definitely couldn't pass this up! From the second we all walked in,the service and attention to detail was immaculate. One of my coworkers had a tomato allergy and I am so grateful that they accomodated her esp for the theme of pasta&stories. I don't like to drink so I had the 12 course meal with non alcoholic pairing and each dish& drink was so thoughtful and carefully curated. I don't want to spoil it but I am not a pasta person but after the dinner,I am sold. Pasta all day!!!😍 I can't wait to attend again!",Lainaboo,5,Paragraph #1:,"Merchant Roots, a feast for the senses
Plates of art, flavors intense
Service superb, attention immense 
Transporting guests to realms immense

Paragraph #2: 
pasta"
